ID,Species Name
64588,Aapticheilichthys websteri
16239,Aaptosyax grypus
2347,Abactochromis labrosus
62612,Abalistes filamentosus
9,Abalistes stellatus
62797,Abbottina binhi
65146,Abbottina lalinensis
55145,Abbottina liaoningensis
55143,Abbottina obtusirostris
22903,Abbottina rivularis
8049,Ablabys binotatus
69366,Ablabys gymnothorax
25701,Ablabys macracanthus
69367,Ablabys pauciporus
10232,Ablabys taenianotus
972,Ablennes hians
46918,Aboma etheostoma
67299,Aborichthys cataracta
24516,Aborichthys elongatus
24517,Aborichthys garoensis
24523,Aborichthys kempi
65802,Aborichthys rosammai
24524,Aborichthys tikaderi
67300,Aborichthys verticauda
67609,Aborichthys waikhomi
268,Abramis brama
14737,Abramites eques
10768,Abramites hypselonotus
6652,Abudefduf abdominalis
6517,Abudefduf bengalensis
11793,Abudefduf concolor
55476,Abudefduf conformis
55868,Abudefduf declivifrons
11811,Abudefduf hoefleri
5685,Abudefduf lorenzi
11823,Abudefduf margariteus
11825,Abudefduf natalensis
69265,Abudefduf nigrimargo
5686,Abudefduf notatus
1119,Abudefduf saxatilis
5687,Abudefduf septemfasciatus
5688,Abudefduf sexfasciatus
5689,Abudefduf sordidus
8018,Abudefduf sparoides
1120,Abudefduf taurus
8245,Abudefduf troschelii
6630,Abudefduf vaigiensis
9626,Abudefduf whitleyi
63844,Abyssoberyx levisquamosus
17075,Abyssobrotula galatheae
48039,Abyssocottus elochini
48040,Abyssocottus gibbosus
47208,Abyssocottus korotneffi
14532,Acanthaluteres brownii
51356,Acanthaluteres spilomelanurus
14550,Acanthaluteres vittiger
56310,Acanthanectes hystrix
56311,Acanthanectes rufus
12559,Acanthaphritis barbata
59262,Acanthaphritis grandisquamis
59416,Acanthaphritis ozawai
59263,Acanthaphritis unoorum
3357,Acantharchus pomotis
3708,Acanthemblemaria aspera
60573,Acanthemblemaria atrata
46703,Acanthemblemaria balanorum
47263,Acanthemblemaria betinensis
25510,Acanthemblemaria castroi
3709,Acanthemblemaria chaplini
46704,Acanthemblemaria crockeri
46709,Acanthemblemaria exilispinus
47265,Acanthemblemaria greenfieldi
46714,Acanthemblemaria hancocki
60576,Acanthemblemaria harpeza
65600,Acanthemblemaria hastingsi
55035,Acanthemblemaria johnsoni
46717,Acanthemblemaria macrospilus
60574,Acanthemblemaria mangognatha
16485,Acanthemblemaria maria
27905,Acanthemblemaria medusa
54806,Acanthemblemaria paula
47268,Acanthemblemaria rivasi
16486,Acanthemblemaria spinosa
46725,Acanthemblemaria stephensi
50683,Acanthicus Hypostominae
13268,Acanthicus hystrix
351,Acanthistius brasilianus
12690,Acanthistius cinctus
59850,Acanthistius fuscus
65330,Acanthistius joanae
15036,Acanthistius ocellatus
15038,Acanthistius pardalotus
50141,Acanthistius patachonicus
15040,Acanthistius paxtoni
57960,Acanthistius pictus
7920,Acanthistius sebastoides
15042,Acanthistius serratus
52601,Acanthobrama centisquama
61854,Acanthobrama hadiyahensis
4515,Acanthobrama lissneri
52603,Acanthobrama marmid
48174,Acanthobrama microlepis
67574,Acanthobrama orontis
55292,Acanthobrama persidis
26480,Acanthobrama telavivensis
67573,Acanthobrama thisbeae
55147,Acanthobrama tricolor
55146,Acanthobrama urmianus
48998,Acanthobunocephalus nicoi
10354,Acanthocepola abbreviata
9216,Acanthocepola indica
9215,Acanthocepola krusensternii
9214,Acanthocepola limbata
9046,Acanthochaenus luetkenii
51803,Acanthocharax microlepis
6655,Acanthochromis polyacanthus
9474,Acanthocleithron chapini
12865,Acanthoclinus fuscus
49224,Acanthoclinus littoreus
46323,Acanthoclinus marilynae
47430,Acanthoclinus matti
46322,Acanthoclinus rua
12256,Acanthocobitis botia
24577,Acanthocobitis mooreh
24585,Acanthocobitis pavonacea
66575,Acanthocobitis pictilis
24604,Acanthocobitis rubidipinnis
10378,Acanthocobitis urophthalmus
89,Acanthocybium solandri
47599,Acanthodoras cataphractus
47598,Acanthodoras depressus
12103,Acanthodoras spinosissimus
54894,Acanthodraco dewitti
55978,Acanthogobio guentheri
67583,Acanthogobius elongatus
3832,Acanthogobius flavimanus
13045,Acanthogobius hasta
67376,Acanthogobius insularis
23696,Acanthogobius lactipes
55485,Acanthogobius luridus
69021,Acanthogobius stigmothonus
7633,Acantholabrus palloni
51500,Acantholiparis caecus
25262,Acantholiparis opercularis
3771,Acantholumpenus mackayi
8943,Acanthonus armatus
63150,Acanthopagrus akazakii
67314,Acanthopagrus arabicus
8109,Acanthopagrus australis
5526,Acanthopagrus berda
4543,Acanthopagrus bifasciatus
14601,Acanthopagrus butcheri
67289,Acanthopagrus catenula
63767,Acanthopagrus chinshira
67331,Acanthopagrus datnia
6356,Acanthopagrus latus
67330,Acanthopagrus morrisoni
65370,Acanthopagrus omanensis
65896,Acanthopagrus pacificus
8110,Acanthopagrus palmaris
65100,Acanthopagrus randalli
6531,Acanthopagrus schlegelii
67333,Acanthopagrus sheim
6583,Acanthopagrus sivicolus
63153,Acanthopagrus taiwanensis
65558,Acanthopagrus vagus
67665,Acanthoplesiops cappuccino
58053,Acanthoplesiops echinatus
17444,Acanthoplesiops hiatti
8004,Acanthoplesiops indicus
69338,Acanthoplesiops jessicae
65019,Acanthoplesiops naka
59172,Acanthoplesiops psilogaster
48774,Acanthopoma annectens
8836,Acanthopsetta nadeshnyi
26858,Acanthopsoides delphax
26859,Acanthopsoides gracilentus
26913,Acanthopsoides gracilis
26860,Acanthopsoides hapalias
23006,Acanthopsoides molobrion
65707,Acanthopsoides namromensis
23008,Acanthopsoides robertsi
46831,Acanthorhodeus chankaensis
25311,Acanthosphex leurynnis
23363,Acanthostracion guineense
23370,Acanthostracion notacanthus
4287,Acanthostracion polygonius
92,Acanthostracion quadricornis
4306,Acanthurus achilles
68166,Acanthurus albimento
13770,Acanthurus albipectoralis
4748,Acanthurus auranticavus
68792,Acanthurus bahianus
4307,Acanthurus bariene
4750,Acanthurus blochii
943,Acanthurus chirurgus
6010,Acanthurus chronixis
944,Acanthurus coeruleus
1256,Acanthurus dussumieri
4745,Acanthurus fowleri
17471,Acanthurus gahhm
4749,Acanthurus grammoptilus
4736,Acanthurus guttatus
23375,Acanthurus japonicus
4741,Acanthurus leucocheilus
4737,Acanthurus leucopareius
1257,Acanthurus leucosternon
1258,Acanthurus lineatus
4746,Acanthurus maculiceps
1255,Acanthurus mata
1800,Acanthurus monroviae
6011,Acanthurus nigricans
4747,Acanthurus nigricauda
4739,Acanthurus nigrofuscus
4738,Acanthurus nigroris
4733,Acanthurus nubilus
4744,Acanthurus olivaceus
4732,Acanthurus polyzona
4742,Acanthurus pyroferus
3905,Acanthurus randalli
58792,Acanthurus reversus
4740,Acanthurus sohal
1259,Acanthurus tennentii
4734,Acanthurus thompsoni
942,Acanthurus tractus
1260,Acanthurus triostegus
12782,Acanthurus tristis
1261,Acanthurus xanthopterus
23015,Acantopsis dialuzona
68515,Acantopsis dinema
68516,Acantopsis ioa
62902,Acantopsis multistigmatus
23017,Acantopsis octoactinotos
68514,Acantopsis rungthipae
66460,Acantopsis spectabilis
60780,Acantopsis thiemmedhi
11272,Acapoeta tanganicae
12258,Acarichthys heckelii
59465,Acarobythites larsonae
12260,Acaronia nassa
46568,Acaronia vultuosa
